id,franchise,subtitle_ที่เหลือ,คำบอกชุด,generic,name
40129411018,one piece,One Piece: The Future We Envision (วันพีช อนาคตที่พวกเร,6,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji One Piece: The Future We Envis
27982151942,one piece,One Piece Takumi no Keifu Hakyoku งานจับฉลาก โมเดล วันพ,6,,[พรีออเดอร์✅🇯🇵] Ichiban Kuji One Piece Takumi no Keifu Hakyo
26367108519,one piece,One Piece Memories of Heroines ฟิกเกอร์ งานจับฉลาก วันพ,6,,[พรีออเดอร์✅🇯🇵]: Ichiban kuji One Piece Memories of Heroines
42678835316,one piece,One Piece EX ผลปีศาจ vol.3 ฟิกเกอร์ลูฟี่เกียร์5 / ช็อปเ,7,,🛒 [พรีออเดอร์🇯🇵 | Keyima] Ichiban Kuji One Piece EX ผลปีศาจ 
29906244679,one piece,one piece beyond the level set งานจับฉลากวันพีช โมเดล ล,8,,[พรีออเดอร์🇯🇵✅]: Ichiban kuji one piece beyond the level set
26772432006,one piece,One Piece Four Emperors Set (ลูฟี่ แชงค์ แบล็คเบียร์ด บ,8,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji One Piece Four Emperors Set (ล
28987903100,re:zero,Re:Zero Starting Life in another world i will remember ,11,,[พรีออเดอร์🇯🇵✅]: Ichiban kuji Re:Zero Starting Life in anoth
46406880305,uma musume,Uma Musume Pretty Derby 12th Edition,3,,[พรีออเดอร์] Ichiban Kuji Uma Musume Pretty Derby 12th Editi
41879095662,uma musume,Uma Musume Pretty Derby 11th Edition,3,,[พรีออเดอร์] Ichiban Kuji Uma Musume Pretty Derby 11th Editi
44758289171,uma musume,Uma Musume Pretty Derby Vol.13 ฟิกเกอร์ ของแท้ญี่ปุ่น อ,5,,[พรีออเดอร์🇯🇵] Ichiban Kuji Uma Musume Pretty Derby Vol.13 ฟ
