id,name,keyword_now,problem,null_prizes,added
41700934018,: ดิจิม่อน the ultimate evolution ฟิกเกอร์ งานจับฉลาก /,一番くじ デジモン 究極進化,ยังไม่ได้ดึงรอบนี้,A B,2026-06-24
41501635085,: Mobile Suit Gundam vol.2 ฟิกเกอร์ งานจับฉลาก / Ichiba,一番くじ 機動戦士ガンダム vol.2,ยังไม่ได้ดึงรอบนี้,Last one A,2026-06-24
41325048263,💫【พรีออเดอร์】Koiland Ichiban Saint Seiya ชุดที่ 3 – Hyo,一番くじ 聖闘士星矢,ยังไม่ได้ดึงรอบนี้,Last One B A,2026-06-24
41029040028,"Ichiban Kuji ""Digimon"" Series -Collision of Light and D",一番くじ デジモン 光と闇の激突,ยังไม่ได้ดึงรอบนี้,LO A B,2026-06-24
40678991811,Ichiban Kuji LAWSON ~50th Anniversary~ // อิจิบัง คุจิ ,一番くじ ローソン 50周年,ยังไม่ได้ดึงรอบนี้,LO,2026-06-24
40129411018,Ichiban Kuji One Piece: The Future We Envision (วันพีช ,一番くじ ワンピース 思い描く未来,ยังไม่ได้ดึงรอบนี้,E1 E2 E3 E4,2026-06-24
40103321295,: Ichiban Kuji WIND BREAKER ~After the battle~ ฟิกเกอร์,一番くじ WIND BREAKER 戦いの後で,ยังไม่ได้ดึงรอบนี้,A B Last one,2026-06-24
29914062351,: Shippuden Connected Feelings Ichiban kuji นารูโตะ,一番くじ NARUTO 疾風伝 つながる想い,ยังไม่ได้ดึงรอบนี้,C A B D Last one,2026-06-24
29339788269,Ichiban Kuji Crayon Shin-chan ~I'm Full~ | งานรางวัล ชิ,一番くじ クレヨンしんちゃん オラお腹いっぱいだゾ,ยังไม่ได้ดึงรอบนี้,F White F Blue F Black,2026-06-24
28987903100,: Ichiban kuji Re:Zero Starting Life in another world i,一番くじ リゼロ この日を忘れない,ยังไม่ได้ดึงรอบนี้,A Last one B,2026-06-24
28793307142,: Ichiban Kuji Godzilla vs King Ghidorah MEGA BRAVE A賞 ,一番くじ ゴジラ キングギドラ MEGA BRAVE,ยังไม่ได้ดึงรอบนี้,A B,2026-06-24
28621287519,: ICHIBAN KUJI DEMON SLAYER - THE CONNECTED TRAIL งานจั,一番くじ 鬼滅の刃 The Connected Trail,ยังไม่ได้ดึงรอบนี้,B Last one น้ำตาทันจิ A,2026-06-24
27536611650,🔥 พรีออเดอร์เปิดแล้ว! 🔥 Ichiban Kuji Naruto - Will of t,一番くじ NARUTO 疾風伝 紡がれる火の意志,ยังไม่ได้ดึงรอบนี้,B ตาธรรมดา C ตาเนตร Last one B ตาเนตร A C ตาธรรมดา,2026-06-24
27462024036,: Ichiban kuji bleach op2 set,一番くじ BLEACH,ยังไม่ได้ดึงรอบนี้,C Last one A B,2026-06-24
26772432006,Ichiban Kuji One Piece Four Emperors Set (ลูฟี่ แชงค์ แ,一番くじ ワンピース 新四皇,ยังไม่ได้ดึงรอบนี้,D,2026-06-24
26666406261,: Ichiban kuji JoJo bizzard adventure โจโจ้ เซต Golden ,一番くじ ジョジョの奇妙な冒険 黄金の風,ยังไม่ได้ดึงรอบนี้,G F กระสุน NoBox Unseal,2026-06-24
26485109954,: Ichiban kuji My Hero Academia The Power of Weaving มา,一番くじ 僕のヒーローアカデミア 紡がれる想い,ยังไม่ได้ดึงรอบนี้,B D A,2026-06-24
26367108519,: Ichiban kuji One Piece Memories of Heroines ฟิกเกอร์ ,一番くじ ワンピース MEMORY OF HEROINES,ยังไม่ได้ดึงรอบนี้,A,2026-06-24
26127303647,: Ichiban Kuji JoJo's Bizarre Adventure GOLDEN WIND - H,一番くじ ジョジョ 黄金の風 HITMAN TEAM,ยังไม่ได้ดึงรอบนี้,G F,2026-06-24
26030509869,Ichiban Kuji BLEACH Stirring Souls vol.2 (บลีช ฟิกเกอร์,一番くじ BLEACH Stirring Souls vol.2,ยังไม่ได้ดึงรอบนี้,LastOne A,2026-06-24
24842876699,พรีออเดอร์: Ichiban kuji Pokemon | A Moment of Peace ฉล,一番くじ ポケモン A Moment of Peace,ยังไม่ได้ดึงรอบนี้,A LASTONE B D C,2026-06-24
